Transmitance	
Time	19/07/2024 13:24:42	19/07/2024 13:27:18	19/07/2024 13:29:05	19/07/2024 13:30:07	19/07/2024 13:30:45	19/07/2024 13:32:09	19/07/2024 13:32:32	19/07/2024 13:33:10	19/07/2024 13:33:45	19/07/2024 13:34:03	19/07/2024 13:34:55	19/07/2024 13:35:19	19/07/2024 13:36:01	19/07/2024 13:36:23	19/07/2024 13:36:40	
Name																
GPS		55° 51.7079' N  -3° 371.9505' W	55° 51.7116' N  -3° 371.9566' W	55° 51.7089' N  -3° 371.9482' W	55° 51.7100' N  -3° 371.9536' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	
[nm]	
484.3	2.472392E-004	2.472392E-004	1.648261E-004	8.241305E-005	2.472392E-004	1.659613E-004	1.659613E-004	3.319227E-004	1.659613E-004	1.659613E-004	1.659613E-004	1.659613E-004	3.319227E-004	2.489420E-004	1.659613E-004
486.2	2.429543E-004	2.429543E-004	1.619695E-004	1.619695E-004	1.619695E-004	1.625091E-004	2.437637E-004	3.250183E-004	1.625091E-004	2.437637E-004	1.625091E-004	2.437637E-004	2.437637E-004	3.250183E-004	1.625091E-004
488.1	2.386255E-004	3.181674E-004	2.386255E-004	1.590837E-004	2.386255E-004	2.391582E-004	2.391582E-004	3.188776E-004	2.391582E-004	2.391582E-004	1.594388E-004	2.391582E-004	3.188776E-004	2.391582E-004	2.391582E-004
490	2.342469E-004	2.342469E-004	1.561646E-004	7.808230E-005	2.342469E-004	1.566416E-004	2.349624E-004	3.132832E-004	2.349624E-004	2.349624E-004	1.566416E-004	2.349624E-004	3.132832E-004	3.132832E-004	2.349624E-004
491.8	2.303263E-004	3.071017E-004	1.535509E-004	1.535509E-004	2.303263E-004	1.539646E-004	1.539646E-004	3.849115E-004	2.309469E-004	2.309469E-004	2.309469E-004	2.309469E-004	3.079292E-004	3.079292E-004	2.309469E-004
493.7	2.263468E-004	3.017957E-004	1.508978E-004	1.508978E-004	2.263468E-004	1.515037E-004	1.515037E-004	3.030073E-004	2.272555E-004	2.272555E-004	2.272555E-004	2.272555E-004	3.030073E-004	3.030073E-004	2.272555E-004
495.6	2.229820E-004	3.716367E-004	1.486547E-004	1.486547E-004	2.229820E-004	1.489758E-004	2.234637E-004	3.724395E-004	1.489758E-004	2.234637E-004	2.234637E-004	2.234637E-004	2.979516E-004	2.979516E-004	2.234637E-004
497.5	2.199736E-004	2.932981E-004	1.466491E-004	1.466491E-004	2.199736E-004	1.466491E-004	2.199736E-004	3.666227E-004	2.199736E-004	2.199736E-004	1.466491E-004	2.199736E-004	2.932981E-004	3.666227E-004	2.199736E-004
499.3	2.166065E-004	2.888087E-004	1.444043E-004	1.444043E-004	2.166065E-004	1.444043E-004	1.444043E-004	3.610108E-004	2.166065E-004	2.166065E-004	2.166065E-004	2.166065E-004	3.610108E-004	2.888087E-004	2.888087E-004
501.2	2.132499E-004	2.843332E-004	2.132499E-004	1.421666E-004	2.132499E-004	2.132348E-004	2.132348E-004	3.553913E-004	1.421565E-004	1.421565E-004	2.132348E-004	2.132348E-004	3.553913E-004	3.553913E-004	2.132348E-004
