Transmitance	
Time	25/07/2024 16:33:08	25/07/2024 16:34:08	25/07/2024 16:34:42	25/07/2024 16:35:07	25/07/2024 16:35:44	25/07/2024 16:36:15	25/07/2024 16:36:35	25/07/2024 16:36:59	25/07/2024 16:37:38	25/07/2024 16:38:10	25/07/2024 16:38:34	25/07/2024 16:39:20	25/07/2024 16:39:45	25/07/2024 16:40:14	25/07/2024 16:40:27	25/07/2024 16:40:44	
Name																	
GPS	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7079' N  -3° 371.9466' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	
[nm]	
723	2.962869E-001	2.957723E-001	3.213078E-001	3.312570E-001	3.044814E-001	3.525085E-001	3.235062E-001	3.378241E-001	2.833427E-001	3.373450E-001	2.812289E-001	3.043405E-001	3.309470E-001	2.909526E-001	3.424746E-001	2.828354E-001
724.9	3.163268E-001	3.158866E-001	3.401113E-001	3.494263E-001	3.233557E-001	3.698739E-001	3.426957E-001	3.544246E-001	3.029081E-001	3.551062E-001	3.019141E-001	3.217369E-001	3.480916E-001	3.110303E-001	3.598205E-001	3.021981E-001
726.8	3.357020E-001	3.355945E-001	3.583205E-001	3.669071E-001	3.418055E-001	3.865133E-001	3.609251E-001	3.702845E-001	3.222279E-001	3.721449E-001	3.223711E-001	3.383708E-001	3.645887E-001	3.309291E-001	3.762379E-001	3.211975E-001
728.7	3.542575E-001	3.541913E-001	3.753280E-001	3.832002E-001	3.591799E-001	4.018859E-001	3.778079E-001	3.849304E-001	3.404654E-001	3.881600E-001	3.418495E-001	3.541336E-001	3.799129E-001	3.498082E-001	3.914761E-001	3.389659E-001
730.5	3.718854E-001	3.719695E-001	3.911617E-001	3.983624E-001	3.753666E-001	4.160739E-001	3.938620E-001	3.983334E-001	3.578584E-001	4.033274E-001	3.602102E-001	3.688046E-001	3.938329E-001	3.679916E-001	4.055341E-001	3.558549E-001
732.4	3.881537E-001	3.885786E-001	4.060060E-001	4.119126E-001	3.905377E-001	4.291354E-001	4.083745E-001	4.105091E-001	3.740168E-001	4.172344E-001	3.779058E-001	3.824088E-001	4.068248E-001	3.849528E-001	4.183748E-001	3.716775E-001
734.3	4.034193E-001	4.035439E-001	4.193501E-001	4.245011E-001	4.043386E-001	4.411020E-001	4.216460E-001	4.217343E-001	3.889445E-001	4.298876E-001	3.940366E-001	3.947725E-001	4.183493E-001	4.005122E-001	4.299464E-001	3.860599E-001
736.1	4.171093E-001	4.174320E-001	4.313859E-001	4.358002E-001	4.169876E-001	4.515317E-001	4.336079E-001	4.315637E-001	4.025301E-001	4.415477E-001	4.087812E-001	4.060556E-001	4.290751E-001	4.150323E-001	4.405996E-001	3.993304E-001
738	4.294457E-001	4.299255E-001	4.423249E-001	4.459613E-001	4.279285E-001	4.608346E-001	4.441133E-001	4.401490E-001	4.148137E-001	4.517139E-001	4.219672E-001	4.158867E-001	4.383607E-001	4.280477E-001	4.498659E-001	4.111177E-001
739.9	4.405298E-001	4.410327E-001	4.517077E-001	4.547663E-001	4.379142E-001	4.688596E-001	4.534469E-001	4.478095E-001	4.256499E-001	4.606135E-001	4.338061E-001	4.247804E-001	4.465201E-001	4.393835E-001	4.578248E-001	4.217818E-001
741.7	4.500906E-001	4.505670E-001	4.601279E-001	4.622994E-001	4.464954E-001	4.761732E-001	4.617565E-001	4.544276E-001	4.353963E-001	4.685125E-001	4.445651E-001	4.324104E-001	4.534624E-001	4.497527E-001	4.649536E-001	4.311738E-001
743.6	4.587331E-001	4.592514E-001	4.670405E-001	4.687983E-001	4.539476E-001	4.821640E-001	4.686468E-001	4.600697E-001	4.437339E-001	4.754054E-001	4.536445E-001	4.390968E-001	4.595242E-001	4.587362E-001	4.708895E-001	4.394302E-001
745.4	4.660215E-001	4.662889E-001	4.734790E-001	4.743320E-001	4.604698E-001	4.870975E-001	4.747586E-001	4.649484E-001	4.511471E-001	4.813088E-001	4.615971E-001	4.447796E-001	4.647046E-001	4.664412E-001	4.760077E-001	4.464248E-001
747.3	4.724550E-001	4.724171E-001	4.786657E-001	4.791252E-001	4.657702E-001	4.917144E-001	4.798910E-001	4.691090E-001	4.573468E-001	4.864766E-001	4.685576E-001	4.496585E-001	4.688333E-001	4.729684E-001	4.803504E-001	4.522927E-001
749.1	4.774430E-001	4.778233E-001	4.833944E-001	4.832713E-001	4.704669E-001	4.953061E-001	4.841331E-001	4.726215E-001	4.626489E-001	4.906892E-001	4.744991E-001	4.538151E-001	4.727138E-001	4.788082E-001	4.840408E-001	4.576626E-001
751	4.820409E-001	4.820362E-001	4.869875E-001	4.864614E-001	4.740832E-001	4.983444E-001	4.876992E-001	4.752901E-001	4.669658E-001	4.941049E-001	4.791892E-001	4.570942E-001	4.756615E-001	4.836763E-001	4.870803E-001	4.617051E-001
752.8	4.854248E-001	4.857347E-001	4.899661E-001	4.890016E-001	4.771476E-001	5.008245E-001	4.904328E-001	4.776765E-001	4.706450E-001	4.970598E-001	4.832768E-001	4.599732E-001	4.780187E-001	4.873837E-001	4.894683E-001	4.654180E-001
754.7	4.885166E-001	4.886349E-001	4.924859E-001	4.913588E-001	4.798059E-001	5.028178E-001	4.930495E-001	4.795241E-001	4.736068E-001	4.995304E-001	4.869130E-001	4.623043E-001	4.799937E-001	4.907326E-001	4.915153E-001	4.683469E-001
756.5	4.909171E-001	4.911097E-001	4.946091E-001	4.930643E-001	4.818096E-001	5.044767E-001	4.948928E-001	4.808638E-001	4.762926E-001	5.017339E-001	4.894704E-001	4.641551E-001	4.816204E-001	4.933480E-001	4.934111E-001	4.707440E-001
758.4	4.929959E-001	4.931524E-001	4.963300E-001	4.945505E-001	4.835563E-001	5.058625E-001	4.966477E-001	4.823488E-001	4.784087E-001	5.033205E-001	4.919450E-001	4.659528E-001	4.831114E-001	4.958851E-001	4.947094E-001	4.727845E-001
760.2	4.947220E-001	4.946388E-001	4.975835E-001	4.955350E-001	4.848766E-001	5.067055E-001	4.978075E-001	4.832442E-001	4.799155E-001	5.044970E-001	4.936146E-001	4.671126E-001	4.838524E-001	4.975194E-001	4.959191E-001	4.743783E-001
762.1	4.957877E-001	4.958616E-001	4.986313E-001	4.964091E-001	4.859103E-001	5.074877E-001	4.988245E-001	4.838814E-001	4.810473E-001	5.055876E-001	4.952175E-001	4.678110E-001	4.847831E-001	4.988889E-001	4.966990E-001	4.754436E-001
763.9	4.968825E-001	4.969379E-001	4.994653E-001	4.972943E-001	4.865688E-001	5.081170E-001	4.996274E-001	4.846570E-001	4.820323E-001	5.066913E-001	4.966138E-001	4.686173E-001	4.853699E-001	5.002106E-001	4.972619E-001	4.766858E-001
765.7	4.976313E-001	4.976208E-001	5.002607E-001	4.977185E-001	4.871586E-001	5.087348E-001	5.003585E-001	4.852031E-001	4.829868E-001	5.072029E-001	4.974578E-001	4.693306E-001	4.858875E-001	5.011733E-001	4.977185E-001	4.774461E-001
767.6	4.983900E-001	4.979841E-001	5.004753E-001	4.979841E-001	4.875930E-001	5.088013E-001	5.008031E-001	4.852329E-001	4.836267E-001	5.078179E-001	4.979513E-001	4.694988E-001	4.863802E-001	5.018193E-001	4.980824E-001	4.782837E-001
769.4	4.984285E-001	4.983331E-001	5.008747E-001	4.980690E-001	4.878363E-001	5.091929E-001	5.008747E-001	4.853276E-001	4.838422E-001	5.082687E-001	4.986631E-001	4.699455E-001	4.863509E-001	5.022941E-001	4.984651E-001	4.785608E-001
771.2	4.987975E-001	4.986337E-001	5.010997E-001	4.982338E-001	4.880032E-001	5.092975E-001	5.008664E-001	4.855372E-001	4.842042E-001	5.082978E-001	4.988670E-001	4.701413E-001	4.864370E-001	5.028326E-001	4.986337E-001	4.789389E-001
773.1	4.991718E-001	4.985002E-001	5.010279E-001	4.981295E-001	4.879849E-001	5.089144E-001	5.010953E-001	4.854235E-001	4.841428E-001	5.084089E-001	4.989047E-001	4.698864E-001	4.864009E-001	5.028479E-001	4.983654E-001	4.791547E-001
774.9	4.989744E-001	4.986361E-001	5.012275E-001	4.981929E-001	4.881001E-001	5.091039E-001	5.011593E-001	4.854064E-001	4.843494E-001	5.085925E-001	4.993863E-001	4.699604E-001	4.863612E-001	5.030005E-001	4.986702E-001	4.793372E-001
776.7	4.993076E-001	4.985156E-001	5.012428E-001	4.980668E-001	4.881593E-001	5.091480E-001	5.010356E-001	4.852251E-001	4.842585E-001	5.088028E-001	4.995512E-001	4.700359E-001	4.861226E-001	5.029688E-001	4.985846E-001	4.794946E-001
778.5	4.992300E-001	4.987961E-001	5.014133E-001	4.980284E-001	4.879436E-001	5.090205E-001	5.011341E-001	4.854311E-001	4.844541E-001	5.088111E-001	4.997034E-001	4.700771E-001	4.863733E-001	5.035070E-001	4.985518E-001	4.798130E-001
780.3	4.992579E-001	4.985555E-001	5.010217E-001	4.978509E-001	4.877396E-001	5.089839E-001	5.009160E-001	4.852382E-001	4.843574E-001	5.087373E-001	4.996829E-001	4.698774E-001	4.860485E-001	5.032765E-001	4.985908E-001	4.793898E-001
782.2	4.989644E-001	4.985045E-001	5.011750E-001	4.975075E-001	4.877154E-001	5.087594E-001	5.009970E-001	4.849737E-001	4.845464E-001	5.087238E-001	4.997864E-001	4.698049E-001	4.860775E-001	5.033471E-001	4.985757E-001	4.793477E-001
784	4.991327E-001	4.983241E-001	5.010271E-001	4.976754E-001	4.875482E-001	5.088118E-001	5.008830E-001	4.848812E-001	4.843767E-001	5.086676E-001	4.997657E-001	4.697084E-001	4.858183E-001	5.031175E-001	4.983962E-001	4.796915E-001
785.8	4.989199E-001	4.979924E-001	5.008760E-001	4.972259E-001	4.874799E-001	5.086509E-001	5.006570E-001	4.847423E-001	4.842313E-001	5.086509E-001	4.994890E-001	4.696671E-001	4.858373E-001	5.029201E-001	4.984304E-001	4.793035E-001
787.6	4.987174E-001	4.979795E-001	5.007229E-001	4.972751E-001	4.871167E-001	5.085085E-001	5.005376E-001	4.846328E-001	4.839284E-001	5.085085E-001	4.994624E-001	4.693953E-001	4.855596E-001	5.029845E-001	4.980165E-001	4.792570E-001
