"","ID","week","date","time","nm","refl","rep","treatment","sensor","device"
"215","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",720.5,0.01762762,1,"control","df","VIS"
"216","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",722.2,0.02388889,1,"control","df","VIS"
"217","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",724,0.03270984,1,"control","df","VIS"
"218","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",725.8,0.04573287,1,"control","df","VIS"
"219","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",727.6,0.07171161,1,"control","df","VIS"
"220","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",729.3,0.107913,1,"control","df","VIS"
"221","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",731.1,0.1480491,1,"control","df","VIS"
"222","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",732.9,0.1778788,1,"control","df","VIS"
"223","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",734.6,0.2186699,1,"control","df","VIS"
"224","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",736.4,0.2433191,1,"control","df","VIS"
"225","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",738.2,0.2588161,1,"control","df","VIS"
"226","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",739.9,0.2756979,1,"control","df","VIS"
"227","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",741.7,0.2868789,1,"control","df","VIS"
"228","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",743.5,0.2860043,1,"control","df","VIS"
"229","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",745.2,0.288415,1,"control","df","VIS"
"230","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",747,0.2881176,1,"control","df","VIS"
"231","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",748.7,0.3003793,1,"control","df","VIS"
"232","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",750.5,0.3129917,1,"control","df","VIS"
"233","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",752.2,0.3246939,1,"control","df","VIS"
"234","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",754,0.3448398,1,"control","df","VIS"
"235","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",755.8,0.3623965,1,"control","df","VIS"
"236","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",757.5,0.3728243,1,"control","df","VIS"
"237","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",759.3,0.3834699,1,"control","df","VIS"
"238","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",761,0.3906971,1,"control","df","VIS"
"239","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",762.8,0.3901086,1,"control","df","VIS"
"240","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",764.5,0.3927088,1,"control","df","VIS"
"241","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",766.3,0.3859914,1,"control","df","VIS"
"242","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",768,0.3820106,1,"control","df","VIS"
"243","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",769.8,0.3711365,1,"control","df","VIS"
"244","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",771.5,0.3461165,1,"control","df","VIS"
"245","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",773.2,0.3394371,1,"control","df","VIS"
