"","ID","tree","device","sensor","week","rep","nm","refl"
"163","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",485,0.000388377073684211
"164","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",486,0.000384161178947368
"165","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",487,0.000317260821052632
"166","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",488,0.000234689347368423
"167","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",489,0.000259827884210526
"168","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",490,0.0002969342
"169","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",491,0.000294318977777778
"170","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",492,0.000291786
"171","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",493,0.000289582
"172","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",494,0.000287383952631579
"173","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",495,0.000285199794736842
"174","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",496,0.000268317300000001
"175","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",497,0.0002293873
"176","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",498,0.000228201938888889
"177","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",499,0.000264761216666666
"178","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",500,0.0002490625
"179","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",501,0.0002109675
"180","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",502,0.000230023742105263
"181","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",503,0.000263367794736841
"182","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",504,0.0002642326
"183","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",505,0.000261496
"184","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",506,0.000258826
"185","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",507,0.000256007189473684
"186","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",508,0.000252593136842105
"187","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",509,0.000259176716666667
"188","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",510,0.000289088105555556
"189","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",511,0.000316644589473684
"190","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",512,0.000341846168421053
"191","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",513,0.00034690407368421
"192","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",514,0.000338532863157894
"193","beech_pp_VIS_w4_1","beech","pp","VIS","w4","1",515,0.000305980183333333
