Transmitance	
Time	06/08/2024 16:02:18	06/08/2024 16:03:24	06/08/2024 16:04:16	06/08/2024 16:05:28	06/08/2024 16:05:51	06/08/2024 16:06:22	06/08/2024 16:08:07	06/08/2024 16:08:42	06/08/2024 16:09:05	06/08/2024 16:12:55	06/08/2024 16:13:25	06/08/2024 16:13:42	06/08/2024 16:14:00	06/08/2024 16:14:18	06/08/2024 16:14:31	
Name																
GPS	55° 51.7089' N  -3° 371.9495' W	55° 51.7079' N  -3° 371.9492' W	55° 51.7110' N  -3° 371.9524' W	55° 51.7074' N  -3° 371.9491' W	55° 51.7084' N  -3° 371.9507' W	55° 51.7087' N  -3° 371.9457' W	55° 51.7072' N  -3° 371.9463' W	55° 51.7115' N  -3° 371.9501' W	55° 51.7093' N  -3° 371.9479' W	55° 51.7098' N  -3° 371.9505' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7130' N  -3° 371.9547' W	55° 51.7134' N  -3° 371.9552' W	55° 51.7134' N  -3° 371.9552' W	
[nm]	
707.9	1.487352E-001	2.232239E-001	1.668192E-001	1.444564E-001	2.098493E-001	2.193219E-001	2.324812E-001	1.653122E-001	2.039828E-001	1.713940E-001	2.441066E-001	2.405544E-001	1.614101E-001	2.298977E-001	1.441335E-001
709.8	1.667162E-001	2.440738E-001	1.841771E-001	1.614996E-001	2.299105E-001	2.392086E-001	2.527232E-001	1.826635E-001	2.227478E-001	1.911506E-001	2.639133E-001	2.617510E-001	1.793929E-001	2.515069E-001	1.607698E-001
711.7	1.857679E-001	2.648625E-001	2.021519E-001	1.793555E-001	2.501630E-001	2.589936E-001	2.730953E-001	2.006032E-001	2.417672E-001	2.111999E-001	2.835290E-001	2.823878E-001	1.981306E-001	2.727149E-001	1.783774E-001
713.6	2.053554E-001	2.856322E-001	2.214108E-001	1.983534E-001	2.702333E-001	2.791226E-001	2.930719E-001	2.194688E-001	2.609885E-001	2.321052E-001	3.031919E-001	3.026722E-001	2.178551E-001	2.934001E-001	1.970406E-001
715.5	2.259388E-001	3.059685E-001	2.413831E-001	2.177348E-001	2.906343E-001	2.994164E-001	3.127959E-001	2.388228E-001	2.802279E-001	2.532761E-001	3.223213E-001	3.223764E-001	2.382172E-001	3.138696E-001	2.161656E-001
717.4	2.476510E-001	3.262286E-001	2.625350E-001	2.380332E-001	3.104576E-001	3.197151E-001	3.322154E-001	2.587101E-001	2.995371E-001	2.750908E-001	3.415006E-001	3.418609E-001	2.592921E-001	3.336844E-001	2.362593E-001
719.3	2.696206E-001	3.459810E-001	2.842784E-001	2.590111E-001	3.301784E-001	3.398386E-001	3.512578E-001	2.792808E-001	3.186755E-001	2.968144E-001	3.601921E-001	3.603875E-001	2.806489E-001	3.532122E-001	2.566100E-001
721.1	2.920580E-001	3.653186E-001	3.065695E-001	2.800495E-001	3.495416E-001	3.599190E-001	3.700152E-001	2.996794E-001	3.377580E-001	3.185781E-001	3.784521E-001	3.785927E-001	3.023230E-001	3.717026E-001	2.775465E-001
723	3.147644E-001	3.837954E-001	3.288258E-001	3.012984E-001	3.681749E-001	3.792879E-001	3.877360E-001	3.204343E-001	3.562397E-001	3.397970E-001	3.961558E-001	3.956739E-001	3.238930E-001	3.894086E-001	2.984068E-001
724.9	3.371326E-001	4.012626E-001	3.511298E-001	3.222213E-001	3.858371E-001	3.978347E-001	4.046334E-001	3.405890E-001	3.740109E-001	3.605279E-001	4.130317E-001	4.117177E-001	3.451310E-001	4.058331E-001	3.191933E-001
